INFO 2025-05-08 08:33:46,130 autoreload 68754 8483818624 Watching for file changes with StatReloader
INFO 2025-05-08 08:34:03,629 basehttp 68754 6149173248 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:03,630 basehttp 68754 6132346880 "OPTIONS /api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:03,855 basehttp 68754 6165999616 "OPTIONS /api/token/refresh/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:03,874 basehttp 68754 6182825984 "OPTIONS /api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:03,900 basehttp 68754 6132346880 "POST /api/token/refresh/ HTTP/1.1" 200 241
INFO 2025-05-08 08:34:03,946 basehttp 68754 6132346880 "OPTIONS /api/bookings/my-bookings/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,088 basehttp 68754 6165999616 "POST /api/token/refresh/ HTTP/1.1" 200 241
INFO 2025-05-08 08:34:04,108 basehttp 68754 6165999616 "OPTIONS /api/restaurants/my-restaurants/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,342 basehttp 68754 6165999616 "GET /api/restaurants/my-restaurants/ HTTP/1.1" 200 14358
INFO 2025-05-08 08:34:04,677 basehttp 68754 6132346880 "GET /api/bookings/my-bookings/ HTTP/1.1" 200 1946
INFO 2025-05-08 08:34:04,682 basehttp 68754 6199652352 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,683 basehttp 68754 6132346880 "OPTIONS /api/restaurants/73 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,684 basehttp 68754 6199652352 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,685 basehttp 68754 6132346880 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,686 basehttp 68754 6199652352 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,686 basehttp 68754 6216478720 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,686 basehttp 68754 6233305088 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,687 basehttp 68754 6132346880 "OPTIONS /api/restaurants/39 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,689 basehttp 68754 6250131456 "OPTIONS /api/restaurants/60 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,689 basehttp 68754 6216478720 "OPTIONS /api/restaurants/39 HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,694 basehttp 68754 6199652352 "GET /api/restaurants/60 HTTP/1.1" 301 0
INFO 2025-05-08 08:34:04,702 basehttp 68754 6233305088 "GET /api/restaurants/73 HTTP/1.1" 301 0
INFO 2025-05-08 08:34:04,706 basehttp 68754 6216478720 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,707 basehttp 68754 6132346880 "GET /api/restaurants/39 HTTP/1.1" 301 0
INFO 2025-05-08 08:34:04,707 basehttp 68754 6199652352 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,707 basehttp 68754 6250131456 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,709 basehttp 68754 6266957824 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,712 basehttp 68754 6283784192 "OPTIONS /api/restaurants/73/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,712 basehttp 68754 6250131456 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,712 basehttp 68754 6199652352 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,712 basehttp 68754 6216478720 "OPTIONS /api/restaurants/60/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,714 basehttp 68754 6283784192 "OPTIONS /api/restaurants/39/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:04,715 basehttp 68754 6250131456 "OPTIONS /api/restaurants/39/ HTTP/1.1" 200 0
INFO 2025-05-08 08:34:05,024 basehttp 68754 6199652352 "GET /api/restaurants/73/ HTTP/1.1" 200 566
INFO 2025-05-08 08:34:05,052 basehttp 68754 6250131456 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:34:05,080 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:05,391 basehttp 68754 6199652352 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:34:05,439 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:05,816 basehttp 68754 6199652352 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:06,170 basehttp 68754 6149173248 "GET /api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 2960
INFO 2025-05-08 08:34:06,183 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:06,375 basehttp 68754 6182825984 "GET /api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 2960
INFO 2025-05-08 08:34:06,548 basehttp 68754 6149173248 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:06,923 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:34:07,288 basehttp 68754 6149173248 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:35:20,836 basehttp 68754 6149173248 "OPTIONS /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12 HTTP/1.1" 200 0
INFO 2025-05-08 08:35:21,815 basehttp 68754 6149173248 "GET /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12 HTTP/1.1" 200 1955
INFO 2025-05-08 08:35:32,187 basehttp 68754 6149173248 "OPTIONS /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12&query=varitea HTTP/1.1" 200 0
INFO 2025-05-08 08:35:32,539 basehttp 68754 6149173248 "GET /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12&query=varitea HTTP/1.1" 200 439
INFO 2025-05-08 08:35:39,539 basehttp 68754 6149173248 "OPTIONS /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12&query=95126 HTTP/1.1" 200 0
INFO 2025-05-08 08:35:40,210 basehttp 68754 6149173248 "GET /api/restaurants/search/?city=San+Jose&date=2025-05-09&time=19%3A00&people=1&page=1&pageSize=12&query=95126 HTTP/1.1" 200 1066
INFO 2025-05-08 08:36:08,450 basehttp 68754 6250131456 "POST /api/token/refresh/ HTTP/1.1" 200 241
INFO 2025-05-08 08:36:09,171 basehttp 68754 6250131456 "GET /api/bookings/my-bookings/ HTTP/1.1" 200 1946
INFO 2025-05-08 08:36:09,484 basehttp 68754 6250131456 "GET /api/restaurants/73/ HTTP/1.1" 200 566
INFO 2025-05-08 08:36:09,515 basehttp 68754 6266957824 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:36:09,534 basehttp 68754 6199652352 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:09,844 basehttp 68754 6250131456 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:36:09,881 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:10,232 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:10,593 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:10,717 basehttp 68754 6149173248 "GET /api/restaurants/hot/?page=1&pageSize=12 HTTP/1.1" 200 2960
INFO 2025-05-08 08:36:10,952 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:11,308 basehttp 68754 6149173248 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:36:11,667 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:55,761 basehttp 68754 6250131456 "GET /api/bookings/my-bookings/ HTTP/1.1" 200 1946
INFO 2025-05-08 08:37:56,104 basehttp 68754 6250131456 "GET /api/restaurants/73/ HTTP/1.1" 200 566
INFO 2025-05-08 08:37:56,129 basehttp 68754 6266957824 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:37:56,156 basehttp 68754 6149173248 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:56,511 basehttp 68754 6250131456 "GET /api/restaurants/39/ HTTP/1.1" 200 801
INFO 2025-05-08 08:37:56,562 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:56,964 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:57,323 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:57,715 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:58,083 basehttp 68754 6266957824 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:37:58,444 basehttp 68754 6250131456 "GET /api/restaurants/60/ HTTP/1.1" 200 867
INFO 2025-05-08 08:40:08,081 basehttp 68754 6266957824 "POST /api/token/refresh/ HTTP/1.1" 200 241
INFO 2025-05-08 08:40:08,495 basehttp 68754 6182825984 "POST /api/token/refresh/ HTTP/1.1" 200 241
INFO 2025-05-08 08:40:08,769 basehttp 68754 6182825984 "GET /api/restaurants/my-restaurants/ HTTP/1.1" 200 14358
